"module name","license","repository"
"@borewit/text-codec@0.1.1","MIT","https://github.com/Borewit/text-codec"
"@inquirer/external-editor@1.0.1","MIT","https://github.com/SBoudrias/Inquirer.js"
"@isaacs/balanced-match@4.0.1","MIT","https://github.com/isaacs/balanced-match"
"@isaacs/brace-expansion@5.0.0","MIT",""
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@lukeed/csprng@1.1.0","MIT","https://github.com/lukeed/csprng"
"@nestjs/axios@4.0.1","MIT","https://github.com/nestjs/axios"
"@nestjs/common@11.1.6","MIT","https://github.com/nestjs/nest"
"@nestjs/core@11.1.6","MIT","https://github.com/nestjs/nest"
"@nuxt/opencollective@0.4.1","MIT","https://github.com/nuxt-contrib/opencollective"
"@nuxtjs/opencollective@0.3.2","MIT","https://github.com/nuxt-contrib/opencollective"
"@openapitools/openapi-generator-cli@2.23.1","Apache-2.0","https://github.com/OpenAPITools/openapi-generator-cli"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@tokenizer/inflate@0.2.7","MIT","https://github.com/Borewit/tokenizer-inflate"
"@tokenizer/token@0.3.0","MIT","https://github.com/Borewit/tokenizer-token"
"@tootallnate/quickjs-emscripten@0.23.0","MIT","https://github.com/justjake/quickjs-emscripten"
"@types/node@20.19.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"agent-base@7.1.4","MIT","https://github.com/TooTallNate/proxy-agents"
"ansi-escapes@4.3.2","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@6.2.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@6.2.1","MIT","https://github.com/chalk/ansi-styles"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"ast-types@0.13.4","MIT","https://github.com/benjamn/ast-types"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"axios@1.11.0","MIT","https://github.com/axios/axios"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"basic-ftp@5.0.5","MIT","https://github.com/patrickjuchli/basic-ftp"
"bl@4.1.0","MIT","https://github.com/rvagg/bl"
"brace-expansion@1.1.12","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.0.2","MIT","https://github.com/juliangruber/brace-expansion"
"buffer@5.7.1","MIT","https://github.com/feross/buffer"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chardet@2.1.0","MIT","https://github.com/runk/node-chardet"
"cli-cursor@3.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-spinners@2.9.2","MIT","https://github.com/sindresorhus/cli-spinners"
"cli-width@3.0.0","ISC","https://github.com/knownasilya/cli-width"
"cliui@8.0.1","ISC","https://github.com/yargs/cliui"
"clone@1.0.4","MIT","https://github.com/pvorb/node-clone"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@8.3.0","MIT","https://github.com/tj/commander.js"
"compare-versions@4.1.4","MIT","https://github.com/omichelsen/compare-versions"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concurrently@9.2.1","MIT","https://github.com/open-cli-tools/concurrently"
"consola@2.15.3","MIT","https://github.com/nuxt/consola"
"consola@3.4.2","MIT","https://github.com/unjs/consola"
"console.table@0.10.0","MIT","https://github.com/bahmutov/console.table"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"data-uri-to-buffer@6.0.2","MIT","https://github.com/TooTallNate/proxy-agents"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug"
"debug@4.4.1","MIT","https://github.com/debug-js/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"defaults@1.0.4","MIT","https://github.com/sindresorhus/node-defaults"
"degenerator@5.0.1","MIT","https://github.com/TooTallNate/proxy-agents"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"dezalgo@1.0.4","ISC","https://github.com/npm/dezalgo"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"eastasianwidth@0.2.0","MIT","https://github.com/komagata/eastasianwidth"
"easy-table@1.1.0","MIT","git+https://eldargab@github.com/eldargab/easy-table"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"es-set-tostringtag@2.1.0","MIT","https://github.com/es-shims/es-set-tostringtag"
"escalade@3.2.0","MIT","https://github.com/lukeed/escalade"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escodegen@2.1.0","BSD-2-Clause","https://github.com/estools/escodegen"
"esprima@4.0.1","BSD-2-Clause","https://github.com/jquery/esprima"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils"
"ezkey-javascript-sdk@1.0.0","MIT","https://github.com/mgagp/ezkey"
"fast-safe-stringify@2.1.1","MIT","https://github.com/davidmarkclements/fast-safe-stringify"
"fflate@0.8.2","MIT","https://github.com/101arrowz/fflate"
"figures@3.2.0","MIT","https://github.com/sindresorhus/figures"
"file-type@21.0.0","MIT","https://github.com/sindresorhus/file-type"
"follow-redirects@1.15.11","MIT","https://github.com/follow-redirects/follow-redirects"
"foreground-child@3.3.1","ISC","https://github.com/tapjs/foreground-child"
"form-data@4.0.4","MIT","https://github.com/form-data/form-data"
"fs-extra@11.3.1","MIT","https://github.com/jprichardson/node-fs-extra"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"get-caller-file@2.0.5","ISC","https://github.com/stefanpenner/get-caller-file"
"get-intrinsic@1.3.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-proto@1.0.1","MIT","https://github.com/ljharb/get-proto"
"get-uri@6.0.5","MIT","https://github.com/TooTallNate/proxy-agents"
"glob@10.4.5","ISC","https://github.com/isaacs/node-glob"
"glob@11.0.3","ISC","https://github.com/isaacs/node-glob"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-symbols@1.1.0","MIT","https://github.com/inspect-js/has-symbols"
"has-tostringtag@1.0.2","MIT","https://github.com/inspect-js/has-tostringtag"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"hosted-git-info@2.8.9","ISC","https://github.com/npm/hosted-git-info"
"http-proxy-agent@7.0.2","MIT","https://github.com/TooTallNate/proxy-agents"
"https-proxy-agent@7.0.6","MIT","https://github.com/TooTallNate/proxy-agents"
"iconv-lite@0.6.3","MIT","https://github.com/ashtuchkin/iconv-lite"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"inquirer@8.2.7","MIT","https://github.com/SBoudrias/Inquirer.js"
"ip-address@10.0.1","MIT","https://github.com/beaugunderson/ip-address"
"is-core-module@2.16.1","MIT","https://github.com/inspect-js/is-core-module"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-interactive@1.0.0","MIT","https://github.com/sindresorhus/is-interactive"
"is-unicode-supported@0.1.0","MIT","https://github.com/sindresorhus/is-unicode-supported"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"iterare@1.2.1","ISC","https://github.com/felixfbecker/iterare"
"jackspeak@3.4.3","BlueOak-1.0.0","https://github.com/isaacs/jackspeak"
"jackspeak@4.1.1","BlueOak-1.0.0","https://github.com/isaacs/jackspeak"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"jsonfile@6.2.0","MIT","https://github.com/jprichardson/node-jsonfile"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"load-esm@1.0.2","MIT","https://github.com/Borewit/load-esm"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"log-symbols@4.1.0","MIT","https://github.com/sindresorhus/log-symbols"
"lru-cache@10.4.3","ISC","https://github.com/isaacs/node-lru-cache"
"lru-cache@11.1.0","ISC","https://github.com/isaacs/node-lru-cache"
"lru-cache@7.18.3","ISC","https://github.com/isaacs/node-lru-cache"
"math-intrinsics@1.1.0","MIT","https://github.com/es-shims/math-intrinsics"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mimic-fn@2.1.0","MIT","https://github.com/sindresorhus/mimic-fn"
"minimatch@10.0.3","ISC","https://github.com/isaacs/minimatch"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimatch@9.0.5","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"minipass@7.1.2","ISC","https://github.com/isaacs/minipass"
"mkdirp@0.5.6","MIT","https://github.com/substack/node-mkdirp"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"mute-stream@0.0.8","ISC","https://github.com/isaacs/mute-stream"
"netmask@2.0.2","MIT","https://github.com/rs/node-netmask"
"node-fetch@2.7.0","MIT","https://github.com/bitinn/node-fetch"
"nopt@4.0.3","ISC","https://github.com/npm/nopt"
"normalize-package-data@2.5.0","BSD-2-Clause","https://github.com/npm/normalize-package-data"
"npm-normalize-package-bin@1.0.1","ISC","https://github.com/npm/npm-normalize-package-bin"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"onetime@5.1.2","MIT","https://github.com/sindresorhus/onetime"
"ora@5.4.1","MIT","https://github.com/sindresorhus/ora"
"os-homedir@1.0.2","MIT","https://github.com/sindresorhus/os-homedir"
"os-tmpdir@1.0.2","MIT","https://github.com/sindresorhus/os-tmpdir"
"osenv@0.1.5","ISC","https://github.com/npm/osenv"
"pac-proxy-agent@7.2.0","MIT","https://github.com/TooTallNate/proxy-agents"
"pac-resolver@7.0.1","MIT","https://github.com/TooTallNate/proxy-agents"
"package-json-from-dist@1.0.1","BlueOak-1.0.0","https://github.com/isaacs/package-json-from-dist"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"path-scurry@1.11.1","BlueOak-1.0.0","https://github.com/isaacs/path-scurry"
"path-scurry@2.0.0","BlueOak-1.0.0","https://github.com/isaacs/path-scurry"
"path-to-regexp@8.2.0","MIT","https://github.com/pillarjs/path-to-regexp"
"proxy-agent@6.5.0","MIT","https://github.com/TooTallNate/proxy-agents"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"read-installed@4.0.3","ISC","https://github.com/isaacs/read-installed"
"read-package-json@2.1.2","ISC","https://github.com/npm/read-package-json"
"readable-stream@3.6.2","MIT","https://github.com/nodejs/readable-stream"
"readdir-scoped-modules@1.1.0","ISC","https://github.com/npm/readdir-scoped-modules"
"reflect-metadata@0.2.2","Apache-2.0","https://github.com/rbuckton/reflect-metadata"
"require-directory@2.1.1","MIT","https://github.com/troygoode/node-require-directory"
"resolve@1.22.11","MIT","https://github.com/browserify/resolve"
"restore-cursor@3.1.0","MIT","https://github.com/sindresorhus/restore-cursor"
"rimraf@5.0.10","ISC","https://github.com/isaacs/rimraf"
"run-async@2.4.1","MIT","https://github.com/SBoudrias/run-async"
"rxjs@7.8.2","Apache-2.0","https://github.com/reactivex/rxjs"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"semver@5.7.2","ISC","https://github.com/npm/node-semver"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"shell-quote@1.8.3","MIT","https://github.com/ljharb/shell-quote"
"signal-exit@3.0.7","ISC","https://github.com/tapjs/signal-exit"
"signal-exit@4.1.0","ISC","https://github.com/tapjs/signal-exit"
"slide@1.1.6","ISC","https://github.com/isaacs/slide-flow-control"
"smart-buffer@4.2.0","MIT","https://github.com/JoshGlazebrook/smart-buffer"
"socks-proxy-agent@8.0.5","MIT","https://github.com/TooTallNate/proxy-agents"
"socks@2.8.7","MIT","https://github.com/JoshGlazebrook/socks"
"source-map@0.6.1","BSD-3-Clause","https://github.com/mozilla/source-map"
"spdx-compare@1.0.0","MIT","https://github.com/kemitchell/spdx-compare.js"
"spdx-correct@3.2.0","Apache-2.0","https://github.com/jslicense/spdx-correct.js"
"spdx-exceptions@2.5.0","CC-BY-3.0","https://github.com/kemitchell/spdx-exceptions.json"
"spdx-expression-parse@3.0.1","MIT","https://github.com/jslicense/spdx-expression-parse.js"
"spdx-license-ids@3.0.22","CC0-1.0","https://github.com/jslicense/spdx-license-ids"
"spdx-ranges@2.1.1","(MIT AND CC-BY-3.0)","https://github.com/kemitchell/spdx-ranges.js"
"spdx-satisfies@4.0.1","MIT","https://github.com/kemitchell/spdx-satisfies.js"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string-width@5.1.2","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"strip-ansi@7.1.0","MIT","https://github.com/chalk/strip-ansi"
"strtok3@10.3.4","MIT","https://github.com/Borewit/strtok3"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"supports-color@8.1.1","MIT","https://github.com/chalk/supports-color"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"through@2.3.8","MIT","https://github.com/dominictarr/through"
"token-types@6.1.1","MIT","https://github.com/Borewit/token-types"
"tr46@0.0.3","MIT","https://github.com/Sebmaster/tr46.js"
"tree-kill@1.2.2","MIT","https://github.com/pkrumins/node-tree-kill"
"treeify@1.1.0","MIT","https://github.com/notatestuser/treeify"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"type-fest@0.21.3","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"typescript@5.9.2","Apache-2.0","https://github.com/microsoft/TypeScript"
"uid@2.0.2","MIT","https://github.com/lukeed/uid"
"uint8array-extras@1.5.0","MIT","https://github.com/sindresorhus/uint8array-extras"
"undici-types@6.21.0","MIT","https://github.com/nodejs/undici"
"universalify@2.0.1","MIT","https://github.com/RyanZim/universalify"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"util-extend@1.0.3","MIT","https://github.com/isaacs/util-extend"
"validate-npm-package-license@3.0.4","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js"
"wcwidth@1.0.1","MIT","https://github.com/timoxley/wcwidth"
"webidl-conversions@3.0.1","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"whatwg-url@5.0.0","MIT","https://github.com/jsdom/whatwg-url"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"
"wrap-ansi@6.2.0","MIT","https://github.com/chalk/wrap-ansi"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi"
"wrap-ansi@8.1.0","MIT","https://github.com/chalk/wrap-ansi"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"y18n@5.0.8","ISC","https://github.com/yargs/y18n"
"yargs-parser@21.1.1","ISC","https://github.com/yargs/yargs-parser"
"yargs@17.7.2","MIT","https://github.com/yargs/yargs"
